time,goal_x,goal_y,x,y,er_x,er_y
69.333,-3.884032827230368,-1.8344216932265438,-4.018663059937576,-1.3292228985945207,-3.7494025945231604,-2.339620487858567
69.583,-3.8848842485910042,-1.8309145229222068,-4.018657743214012,-1.3292197400524408,-3.7511107539679966,-2.332609305791973
69.833,-3.8844500266171034,-1.8323820923468555,-4.018653064944111,-1.329216960178309,-3.7502469882900957,-2.335547224515402
70.083,-3.8848117315623947,-1.8308640939486773,-4.018647745600705,-1.329213798663832,-3.7509757175240845,-2.3325143892335225
70.333,-3.884556262680709,-1.831660941748504,-4.0186430650250164,-1.329211016175372,-3.7504694603364013,-2.3341108673216358
70.583,-3.8836797067075937,-1.8346311777202486,-4.018637743055213,-1.3292078516998524,-3.748721670359975,-2.3400545037406446
70.833,-3.8850187796476328,-1.8294562149735354,-4.018633060164115,-1.3292050666149278,-3.7514044991311506,-2.329707363332143
71.083,-3.885295265900359,-1.8282599222494988,-4.018627735560627,-1.3292018991871424,-3.7519627962400905,-2.3273179453118553
71.333,-3.8852059007297384,-1.8284346165406944,-4.018623050352057,-1.3291991115036894,-3.75178875110742,-2.3276701215776994
71.583,-3.88412390036601,-1.8321703552787332,-4.018617723113485,-1.3291959411204088,-3.7496300776185345,-2.3351447694370577
71.833,-3.8843496701052143,-1.83116546836117,-4.0186130355862195,-1.3291931508355859,-3.7500863046242094,-2.333137785886754
72.083,-3.8848904727155844,-1.828982231655158,-4.018607705711164,-1.3291899774935751,-3.751173239720004,-2.3287744858167407
72.333,-3.883976020598352,-1.8322392644840046,-4.018603015863971,-1.3291871846045349,-3.749349025332733,-2.3352913443634744
72.583,-3.8847309240004773,-1.8291072603980016,-4.018597683351039,-1.329184008300551,-3.750864164649916,-2.3290305124954522
72.833,-3.8836800826258138,-1.8328705665486709,-4.018592991182688,-1.3291812128044398,-3.7487671740689397,-2.3365599202929017
73.083,-3.8847477533539827,-1.8287232296477625,-4.018587656030473,-1.3291780335352374,-3.750907850677493,-2.3282684257602875
73.333,-3.8845016127103746,-1.829481830473222,-4.018582961539734,-1.3291752354291957,-3.750420263881015,-2.3297884255172487
73.583,-3.885240615177879,-1.8264146557439647,-4.018577623746838,-1.3291720531915268,-3.7519036066089204,-2.323657258296403
73.833,-3.883860197775515,-1.831401901889371,-4.018572926932479,-1.3291692524726941,-3.749147468618551,-2.333634551306048
74.083,-3.88376914493238,-1.8315792923263041,-4.018567586497496,-1.3291660672633037,-3.748970703367264,-2.3339925173893046
74.333,-3.8843102550112354,-1.829402448034554,-4.018562887358282,-1.3291632639288191,-3.750057622664188,-2.329641632140289
74.583,-3.8851807884938534,-1.825849387660159,-4.018557544278994,-1.3291600757439725,-3.7518040327087125,-2.3225386995763455
74.833,-3.8840048387014248,-1.8300683206520971,-4.018552842807043,-1.3291572697871172,-3.7494568345958066,-2.330979371517077
75.083,-3.884197569863157,-1.829189405242563,-4.018547497068912,-1.329154078615906,-3.7498476426574023,-2.3292247318692203
75.333,-3.883526724725842,-1.8315255270316522,-4.018542793258489,-1.3291512700311152,-3.7485106561931945,-2.333899784032189
75.583,-3.884092061412057,-1.8291107743032966,-4.018537444863172,-1.3291480758719667,-3.749646677960942,-2.3290734727346263
75.833,-3.8834398025455816,-1.8313757086862816,-4.018532738714613,-1.3291452646572521,-3.7483468663765507,-2.333606152715311
76.083,-3.8841130316551786,-1.828711613395986,-4.018527387660576,-1.3291420675068149,-3.749698675649781,-2.328281159285157
76.333,-3.8837475322383064,-1.8299098189251872,-4.018522679170631,-1.3291392536581865,-3.7489723853059815,-2.330680384192188
76.583,-3.884660530370148,-1.826207912856265,-4.018517325450565,-1.3291360535184893,-3.7508037352897303,-2.3232797721940406
76.833,-3.884312024693081,-1.8273425882882912,-4.018512614611761,-1.329133237048232,-3.7501114347744013,-2.32555193952835
